"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8719","Account Registration TC_RF_004 @master @regression","chromium","2026-03-17","passed","2026-03-17","","TC_RF_004.spec.ts","",""
"","63804","User Logout","chromium","2026-03-12","broken","2026-03-12","","Logout.spec.ts","",""
"","4476","Product Search Test @master @regression","chromium","2026-03-17","passed","2026-03-17","","SearchProduct.spec.ts","",""
"","14410","Add to cart test @master @regression","chromium","2026-03-17","passed","2026-03-17","","AddToCart.spec.ts","",""
"","5562","Login test with CSV Data : Invalid login1 @datadriven","chromium","2026-03-17","passed","2026-03-17","","LoginDDT.spec.ts","",""
"","5477","Login test with CSV Data : Invalid login2 @datadriven","chromium","2026-03-17","passed","2026-03-17","","LoginDDT.spec.ts","",""
"","16575","Account Registration test @master @sanity @regression","chromium","2026-03-17","passed","2026-03-17","","AccountRegistration.spec.ts","",""
"","48113","Login test with JSON Data : Valid login @datadriven","chromium","2026-03-17","passed","2026-03-17","","LoginDDT.spec.ts","",""
"","9814","Login test with JSON Data : Invalid login2 @datadriven","chromium","2026-03-17","passed","2026-03-17","","LoginDDT.spec.ts","",""
"","63163","Execute end-to end test flow @end-to-end","chromium","2026-03-13","broken","2026-03-13","","E2ETest.spec.ts","",""
"","9497","Login test with CSV Data : Valid login @datadriven","chromium","2026-03-17","passed","2026-03-17","","LoginDDT.spec.ts","",""
"","4826","User Login test @master @sanity @regression","chromium","2026-03-17","passed","2026-03-17","","Login.spec.ts","",""
"","20760","Account Registration test","chromium","2026-03-09","passed","2026-03-09","","AccountRegistration.spec.ts","",""
"","41733","User Login test","chromium","2026-03-10","passed","2026-03-10","","Login.spec.ts","",""
"","6616","User Logout test @master @regression","chromium","2026-03-17","passed","2026-03-17","","Logout.spec.ts","",""
"","48114","Login test with JSON Data : Invalid login1 @datadriven","chromium","2026-03-17","passed","2026-03-17","","LoginDDT.spec.ts","",""
